Test,repo,sha,author,date_iso,subject,file_path,pandas_type_all,polars_type_all,macro_primary,macro_all,macro_evidence,pandas_evidence,Unnamed: 13,polars_evidence,patch_lines_file,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
No,1smay3/smay_equities,67a3b6bba945c0de5bb34a0d293d3cd5afac5a75,1spencermay3,2024-05-26T20:57:06+01:00,MAYC-3 change dataframe framework from pandas to polars,data/data_cache/arctic.py,DataFrame,Other polars API,Core dataframe transforms,Core dataframe transforms,pandas:DataFrame->Core dataframe transforms,DataFrame:\b(?:pd|pandas)\.DataFrame\b,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,17,,,,,DataFrame,Other polars API,Core dataframe transforms | Other / Manual,Core dataframe transforms
No,1smay3/smay_equities,67a3b6bba945c0de5bb34a0d293d3cd5afac5a75,1spencermay3,2024-05-26T20:57:06+01:00,MAYC-3 change dataframe framework from pandas to polars,data/data_store.py,Input/output,Other polars API,IO boundary,IO boundary,pandas:Input/output->IO boundary,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,13,,,,,Other pandas API,Other polars API,Other / Manual,Other / Manual
No,1smay3/smay_equities,67a3b6bba945c0de5bb34a0d293d3cd5afac5a75,1spencermay3,2024-05-26T20:57:06+01:00,MAYC-3 change dataframe framework from pandas to polars,data/processing/generic.py,General functions,Other polars API,Aggregation & joins,Aggregation & joins,pandas:General functions->Aggregation & joins,General functions:\b(?:pd|pandas)\.(?:to_numeric|to_datetime|to_timedelta)\b,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,10,,,,,General functions - Temporal | Index objects,Other polars API,Index & pandas-specific semantics | Other / Manual | Time series & window,Time series & window
No,1smay3/smay_equities,67a3b6bba945c0de5bb34a0d293d3cd5afac5a75,1spencermay3,2024-05-26T20:57:06+01:00,MAYC-3 change dataframe framework from pandas to polars,data/processing/politicians_trades.py,General functions;DataFrame,Other polars API,Aggregation & joins,Aggregation & joins;Core dataframe transforms,pandas:General functions->Aggregation & joins|pandas:DataFrame->Core dataframe transforms,General functions:\b(?:pd|pandas)\.(?:merge|merge_ordered|merge_asof|concat)\b|DataFrame:\b(?:pd|pandas)\.DataFrame\b,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,18,,,,,General functions - Joins | General functions - Temporal | GroupBy | UDF / apply / map | Index objects,DataFrame - GroupBy | DataFrame - Aggregation | Series - Miscellaneous,Aggregation & joins | Index & pandas-specific semantics | Time series & window | UDF / apply / map,Aggregation & joins
No,1smay3/smay_equities,67a3b6bba945c0de5bb34a0d293d3cd5afac5a75,1spencermay3,2024-05-26T20:57:06+01:00,MAYC-3 change dataframe framework from pandas to polars,data/processing/prices.py,DataFrame,Other polars API,Core dataframe transforms,Core dataframe transforms,pandas:DataFrame->Core dataframe transforms,DataFrame:\b(?:pd|pandas)\.DataFrame\b,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,21,,,,,Window,DataFrame - Aggregation,Aggregation & joins | Time series & window,Aggregation & joins
No,1smay3/smay_equities,67a3b6bba945c0de5bb34a0d293d3cd5afac5a75,1spencermay3,2024-05-26T20:57:06+01:00,MAYC-3 change dataframe framework from pandas to polars,fmp/fmp_data.py,General functions;DataFrame,Core dataframe transforms;Types & schema,Aggregation & joins,Aggregation & joins;Core dataframe transforms;Types & schema,pandas:General functions->Aggregation & joins|pandas:DataFrame->Core dataframe transforms|polars:Core dataframe transforms->Core dataframe transforms|polars:Types & schema->Types & schema,General functions:\b(?:pd|pandas)\.(?:merge|merge_ordered|merge_asof|concat)\b|DataFrame:\b(?:pd|pandas)\.DataFrame\b,Core dataframe transforms:\b(?:pl|polars)\.(?:col|when|lit)\b|Types & schema:\b(?:pl|polars)\.(?:Date|Datetime|Duration|Time|Categorical|Enum|Struct|List|Array|String|Utf8|Binary|Boolean)\b,51,,,,,General functions - Joins | UDF / apply / map | Index objects,Expressions - Functions - Core | Expressions - string | DataFrame - Manipulation/selection | DataFrame - Computation,Aggregation & joins | Core dataframe transforms | Index & pandas-specific semantics | String & specialized types | UDF / apply / map,Aggregation & joins
No,Aalto-Salsa-Society/salsa-raffle,e1b45a0fcbd2cc6eece6ac9752a60dd25119d9cb,Menno,2024-01-10T11:24:56+01:00,chore: replace `pandas` with `polars` (#1),create_groups.py,Input/output;General functions;Series;DataFrame;Index objects,Input/output;Core dataframe transforms;Time series & window,IO boundary,IO boundary;Aggregation & joins;Time series & window;Core dataframe transforms;Index & pandas-specific semantics,pandas:Input/output->IO boundary|pandas:General functions->Aggregation & joins|pandas:Series->Core dataframe transforms|pandas:DataFrame->Core dataframe transforms|pandas:Index objects->Index & pandas-specific semantics|polars:Input/output->IO boundary|polars:Core dataframe transforms->Core dataframe transforms|polars:Time series & window->Time series & window,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b|General functions:\b(?:pd|pandas)\.(?:merge|merge_ordered|merge_asof|concat)\b|Series:\b(?:pd|pandas)\.Series\b|DataFrame:\b(?:pd|pandas)\.DataFrame\b|Index objects:\b(?:pd|pandas)\.(?:Index|RangeIndex|MultiIndex|DatetimeIndex|TimedeltaIndex|PeriodIndex|IntervalIndex|CategoricalIndex)\b,Input/output:\b(?:pl|polars)\.(?:read|scan)_(?:csv|parquet|json|ndjson|ipc|avro|excel|delta|iceberg|lines)\b|Core dataframe transforms:\b(?:pl|polars)\.(?:col|when|lit)\b|Time series & window:\b(?:pl|polars)\.Expr\b,248,,,,,Input/output | General functions - Joins | UDF / apply / map | Missing values | Index objects,Input/output - CSV | Input/output - Excel | LazyFrame - Manipulation/selection | Expressions - Functions - Core | Expressions - string | DataFrame - Manipulation/selection | DataFrame - Aggregation | DataFrame - Computation,Aggregation & joins | Core dataframe transforms | IO boundary | Index & pandas-specific semantics | String & specialized types | UDF / apply / map,IO boundary
Yes,AroneyS/binchicken,05afd8785eb79c5ad01bcf2355520c80ffb16739,AroneyS,2023-03-07T10:56:08+10:00,switch evaluate.py to polars,ibis/workflow/scripts/evaluate.py,Input/output;General functions;DataFrame;Missing values,Input/output;Core dataframe transforms,IO boundary,IO boundary;Aggregation & joins;Missing values;Core dataframe transforms,pandas:Input/output->IO boundary|pandas:General functions->Aggregation & joins|pandas:DataFrame->Core dataframe transforms|pandas:Missing values->Missing values|polars:Input/output->IO boundary|polars:Core dataframe transforms->Core dataframe transforms,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b|General functions:\b(?:pd|pandas)\.(?:merge|merge_ordered|merge_asof|concat)\b|DataFrame:\b(?:pd|pandas)\.DataFrame\b|Missing values:\b(?:pd|pandas)\.(?:isna|isnull|notna|notnull)\b,Input/output:\b(?:pl|polars)\.(?:read|scan)_(?:csv|parquet|json|ndjson|ipc|avro|excel|delta|iceberg|lines)\b|Core dataframe transforms:\b(?:pl|polars)\.(?:col|when|lit)\b,164,,,,,"Input/output | General functions - Joins | General functions - Missing | GroupBy | UDF / apply / map | Missing values | pandas arrays, scalars, and data types | Index objects",Input/output - CSV | Expressions - Functions - Core | Expressions - Window | Expressions - string | Expressions - struct | DataFrame - Manipulation/selection | DataFrame - Computation | Data types,Aggregation & joins | Core dataframe transforms | IO boundary | Index & pandas-specific semantics | String & specialized types | Time series & window | Types & schema | UDF / apply / map,IO boundary
Yes,AroneyS/binchicken,05afd8785eb79c5ad01bcf2355520c80ffb16739,AroneyS,2023-03-07T10:56:08+10:00,switch evaluate.py to polars,test/test_evaluate_script.py,DataFrame;Testing,Other polars API,Core dataframe transforms,Core dataframe transforms,pandas:DataFrame->Core dataframe transforms,DataFrame:\b(?:pd|pandas)\.DataFrame\b|Testing:\b(?:pd|pandas)\.testing\.assert_(?:frame|series|index|extension_array)_equal\b,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,323,,,,,Testing | Index objects | DataFrame,Testing,Core dataframe transforms | Index & pandas-specific semantics | Testing & errors,Core dataframe transforms
Yes,AroneyS/binchicken,1f8af3a3bfc0d137d8a76cb5a2bd6c484e6650ed,AroneyS,2023-03-06T16:36:34+10:00,finish switch target_elusive to polars,ibis/workflow/scripts/target_elusive.py,Input/output;Series;DataFrame,Input/output;Core dataframe transforms;Types & schema;Metadata,IO boundary,IO boundary;Core dataframe transforms;Types & schema;Other / Manual,pandas:Input/output->IO boundary|pandas:Series->Core dataframe transforms|pandas:DataFrame->Core dataframe transforms|polars:Input/output->IO boundary|polars:Core dataframe transforms->Core dataframe transforms|polars:Types & schema->Types & schema|polars:Metadata->Other / Manual,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b|Series:\b(?:pd|pandas)\.Series\b|DataFrame:\b(?:pd|pandas)\.DataFrame\b,Input/output:\b(?:pl|polars)\.(?:read|scan)_(?:csv|parquet|json|ndjson|ipc|avro|excel|delta|iceberg|lines)\b|Core dataframe transforms:\b(?:pl|polars)\.(?:col|when|lit)\b|Types & schema:\b(?:pl|polars)\.(?:Date|Datetime|Duration|Time|Categorical|Enum|Struct|List|Array|String|Utf8|Binary|Boolean)\b|Metadata:\b(?:pl|polars)\.(?:build_info|get_index_type|show_versions|thread_pool_size|threadpool_size)\b,122,,,,,"Input/output | GroupBy | UDF / apply / map | Missing values | pandas arrays, scalars, and data types | Index objects",Input/output - CSV | DataFrame - GroupBy | Expressions - Functions - Core | Expressions - Window | Expressions - string | DataFrame - Manipulation/selection | DataFrame - Aggregation | DataFrame - Computation | Data types,Aggregation & joins | Core dataframe transforms | IO boundary | Index & pandas-specific semantics | String & specialized types | Time series & window | Types & schema | UDF / apply / map,IO boundary
